== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  av_shp64  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   4,4  0.031524  339965     1.358     1.516     1.389     1.756     0.945     0.908     0.894     0.850     0.841  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r2
   2,6  0.052599  371331     1.500     2.284     2.294     2.313     1.420     1.391     1.133     1.068     1.082  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r1
   7,4  0.000198    2142     1.755     0.623     0.584     0.577     0.570     0.548     0.564     0.555     0.576  clickbench-url-1m-gen1-s42.contains.L8.s1e-3.r0
   7,4  0.031815  343258     1.331     1.402     1.412     1.396     0.939     0.921     0.911     0.873     0.928  clickbench-url-1m-gen1-s42.contains.L4.s0.3.r2
   6,5  0.040612  402388     1.491     1.853     1.863     1.812     1.091     1.044     1.030     1.006     1.017  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r1
   5,6  0.007606   81910     1.578     1.056     1.033     1.085     0.672     0.665     0.679     0.696     0.715  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r4
   8,7  0.031336  335383     1.381     1.481     1.560     1.542     1.065     1.036     0.980     0.952     0.942  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r0
  17,5  0.001162   12169     1.753     0.830     0.772     0.720     0.792     0.779     0.744     0.788     0.786  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r2
  20,5  0.001077   11580     1.807     0.821     0.811     0.851     0.909     0.890     0.866     0.844     0.853  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r4
  26,6  0.007567   72902     1.785     1.363     1.355     1.334     1.120     1.106     1.102     1.101     1.068  clickbench-url-1m-gen1-s42.contains.L2.s1e-2.r2
