== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  av_shp64  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   1,0  0.000000       3     1.657     0.478     0.170     0.649     0.258     0.238     0.252     0.187     0.223  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       5     1.642     0.508     0.248     0.708     0.287     0.259     0.235     0.224     0.211  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000001      10     1.607     0.452     0.192     0.675     0.243     0.222     0.217     0.224     0.230  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000002      22     1.641     0.500     0.248     0.706     0.309     0.292     0.286     0.235     0.243  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      27     1.633     0.483     0.192     0.682     0.279     0.262     0.303     0.268     0.271  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000005      52     1.636     0.465     0.163     0.693     0.287     0.298     0.283     0.238     0.228  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000007      70     1.616     0.494     0.229     0.651     0.538     0.371     0.309     0.268     0.269  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000014     151     1.657     0.511     0.230     0.693     0.305     0.278     0.294     0.251     0.274  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000024     263     1.666     0.553     0.295     0.775     0.368     0.359     0.346     0.319     0.340  clickbench-url-1m-gen1-s42.contains.L8.s0.r4
   1,0  0.000075     817     1.649     0.575     0.283     0.761     0.355     0.351     0.317     0.319     0.335  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r2
   1,0  0.000081     874     1.645     0.617     0.300     0.750     0.345     0.337     0.358     0.335     0.386  clickbench-url-1m-gen1-s42.contains.L64.s1e-3.r0
   2,0  0.000012     126     1.663     0.540     0.270     0.253     0.291     0.328     0.332     0.322     0.401  clickbench-url-1m-gen1-s42.contains.L32.s1e-4.r0
   0,1  0.000028     309     1.671     0.584     0.329     0.319     0.324     0.326     0.337     0.273     0.311  clickbench-url-1m-gen1-s42.contains.L4.s0.r3
   0,1  0.000091     988     1.645     0.583     0.329     0.307     0.320     0.336     0.312     0.275     0.340  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r1
   0,1  0.000156    1688     1.659     0.615     0.379     0.404     0.381     0.381     0.386     0.366     0.401  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r1
   2,0  0.005445   59051     1.683     0.929     0.687     0.645     0.538     0.535     0.514     0.511     0.542  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r3
   1,1  0.000017     181     1.660     0.528     0.324     0.308     0.367     0.365     0.354     0.308     0.332  clickbench-url-1m-gen1-s42.contains.L64.s1e-4.r0
   3,0  0.000023     245     1.655     0.570     0.290     0.305     0.370     0.377     0.363     0.312     0.333  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   1,1  0.000053     578     1.640     0.562     0.352     0.350     0.408     0.455     0.420     0.386     0.451  clickbench-url-1m-gen1-s42.contains.L8.s0.r0
   3,0  0.000257    2776     1.628     0.602     0.364     0.386     0.417     0.408     0.374     0.374     0.400  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.005459   59199     1.666     0.935     0.712     0.705     0.546     0.570     0.531     0.530     0.566  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
   2,1  0.000207    2198     1.630     0.601     0.440     0.418     0.447     0.424     0.394     0.430     0.418  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r2
   2,1  0.001732   18586     1.638     0.818     0.624     0.676     0.488     0.477     0.460     0.448     0.454  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r1
   2,1  0.006996   75868     1.580     0.803     0.617     0.644     0.500     0.488     0.477     0.483     0.493  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r2
   2,1  0.012864  139515     1.540     0.890     0.753     0.792     0.540     0.553     0.506     0.515     0.503  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r1
   5,0  0.000162    1545     1.609     0.607     0.427     0.415     0.430     0.440     0.421     0.398     0.392  clickbench-url-1m-gen1-s42.contains.L4.s0.r1
   1,2  0.001062   11240     1.611     0.708     0.526     0.489     0.436     0.402     0.366     0.431     0.451  clickbench-url-1m-gen1-s42.contains.L4.s1e-4.r0
   3,1  0.006447   69888     1.505     0.812     0.666     0.749     0.504     0.491     0.505     0.472     0.479  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r3
   1,2  0.012994  140839     1.552     0.960     0.795     0.902     0.561     0.531     0.514     0.524     0.553  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r1
   2,2  0.000036     386     1.617     0.500     0.302     0.309     0.417     0.381     0.321     0.338     0.384  clickbench-url-1m-gen1-s42.contains.L16.s1e-4.r0
   0,3  0.007810   84694     1.573     1.016     0.888     1.023     0.615     0.596     0.570     0.577     0.585  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r1
   2,2  0.031059  336043     1.248     1.351     1.214     1.509     0.791     0.781     0.716     0.715     0.729  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r3
   0,3  0.040396  401060     1.379     1.785     1.663     1.895     0.847     0.825     0.732     0.760     0.751  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r4
   1,3  0.001502   16091     1.585     0.695     0.587     0.551     0.402     0.385     0.381     0.435     0.467  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r1
   3,3  0.031092  336192     1.203     1.362     1.342     1.353     0.860     0.842     0.758     0.768     0.769  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r0
   5,2  0.044474  481961     1.205     1.264     1.256     1.303     0.803     0.810     0.742     0.757     0.759  clickbench-url-1m-gen1-s42.contains.L8.s0.5.r1
   8,1  0.044430  481733     1.228     1.282     1.263     1.252     0.780     0.812     0.756     0.779     0.728  clickbench-url-1m-gen1-s42.contains.L16.s0.5.r0
   3,4  0.001800   19422     1.608     0.826     0.789     0.766     0.497     0.462     0.435     0.480     0.509  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r3
   4,4  0.031524  339965     1.197     1.419     1.523     1.713     0.887     0.870     0.777     0.805     0.796  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r2
   2,6  0.052599  371331     1.387     2.203     2.181     2.198     1.345     1.331     0.997     0.966     0.948  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r1
   7,4  0.000198    2142     1.602     0.567     0.572     0.561     0.527     0.656     0.677     0.630     0.646  clickbench-url-1m-gen1-s42.contains.L8.s1e-3.r0
   7,4  0.031815  343258     1.234     1.363     1.347     1.391     0.928     0.971     0.829     0.869     0.838  clickbench-url-1m-gen1-s42.contains.L4.s0.3.r2
   6,5  0.040612  402388     1.406     1.798     1.761     1.818     1.041     1.044     0.911     0.962     0.938  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r1
   5,6  0.007606   81910     1.455     0.984     0.961     0.930     0.651     0.612     0.556     0.625     0.706  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r4
   8,7  0.031336  335383     1.236     1.427     1.405     1.387     0.967     1.003     0.862     0.900     0.900  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r0
  17,5  0.001162   12169     1.615     0.814     0.697     0.677     0.711     0.718     0.646     0.680     0.731  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r2
  20,5  0.001077   11580     1.632     0.734     0.738     0.696     0.804     0.819     0.671     0.731     0.812  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r4
  26,6  0.007567   72902     1.604     1.297     1.273     1.290     1.136     1.103     0.967     1.010     1.025  clickbench-url-1m-gen1-s42.contains.L2.s1e-2.r2
