== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   1,0  0.000000       3     1.760     0.528     0.202     0.302     0.295     0.332     0.270     0.294  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       5     1.761     0.518     0.231     0.333     0.363     0.347     0.286     0.303  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000001      10     1.764     0.525     0.211     0.304     0.278     0.293     0.252     0.274  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000002      22     1.759     0.525     0.232     0.295     0.291     0.261     0.226     0.247  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      27     1.772     0.519     0.186     0.301     0.302     0.293     0.259     0.290  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000005      52     1.816     0.525     0.222     0.297     0.301     0.296     0.231     0.291  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000007      70     1.733     0.514     0.174     0.267     0.245     0.226     0.206     0.264  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000014     151     1.752     0.535     0.190     0.285     0.267     0.260     0.265     0.262  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000024     263     1.714     0.560     0.196     0.304     0.292     0.295     0.267     0.290  clickbench-url-1m-gen1-s42.contains.L8.s0.r4
   1,0  0.000075     817     1.742     0.578     0.210     0.302     0.287     0.299     0.244     0.316  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r2
   1,0  0.000081     874     1.745     0.615     0.281     0.322     0.316     0.289     0.300     0.329  clickbench-url-1m-gen1-s42.contains.L64.s1e-3.r0
   2,0  0.000012     126     1.713     0.522     0.218     0.302     0.265     0.262     0.212     0.252  clickbench-url-1m-gen1-s42.contains.L32.s1e-4.r0
   0,1  0.000028     309     1.723     0.523     0.185     0.239     0.244     0.225     0.239     0.281  clickbench-url-1m-gen1-s42.contains.L4.s0.r3
   0,1  0.000091     988     1.708     0.564     0.263     0.302     0.295     0.258     0.230     0.301  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r1
   0,1  0.000156    1688     1.735     0.605     0.281     0.330     0.368     0.327     0.272     0.330  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r1
   2,0  0.005445   59051     1.742     0.867     0.615     0.488     0.509     0.519     0.454     0.485  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r3
   1,1  0.000017     181     1.722     0.513     0.222     0.327     0.324     0.300     0.256     0.295  clickbench-url-1m-gen1-s42.contains.L64.s1e-4.r0
   3,0  0.000023     245     1.700     0.511     0.206     0.286     0.311     0.265     0.251     0.274  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   1,1  0.000053     578     1.732     0.548     0.243     0.353     0.370     0.394     0.335     0.343  clickbench-url-1m-gen1-s42.contains.L8.s0.r0
   3,0  0.000257    2776     1.704     0.570     0.287     0.347     0.386     0.340     0.301     0.324  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.005459   59199     1.737     0.872     0.586     0.500     0.514     0.561     0.513     0.514  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
   2,1  0.000207    2198     1.733     0.613     0.325     0.394     0.416     0.413     0.391     0.426  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r2
   2,1  0.001732   18586     1.713     0.846     0.541     0.434     0.438     0.459     0.449     0.505  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r1
   2,1  0.006996   75868     1.713     0.879     0.595     0.522     0.510     0.520     0.520     0.602  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r2
   2,1  0.012864  139515     1.674     0.947     0.737     0.590     0.579     0.591     0.561     0.615  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r1
   5,0  0.000162    1545     1.769     0.622     0.372     0.415     0.445     0.458     0.400     0.468  clickbench-url-1m-gen1-s42.contains.L4.s0.r1
   1,2  0.001062   11240     1.753     0.805     0.513     0.434     0.444     0.462     0.439     0.492  clickbench-url-1m-gen1-s42.contains.L4.s1e-4.r0
   3,1  0.006447   69888     1.602     0.917     0.659     0.562     0.545     0.540     0.497     0.537  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r3
   1,2  0.012994  140839     1.651     1.016     0.744     0.568     0.561     0.588     0.584     0.627  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r1
   2,2  0.000036     386     1.727     0.560     0.280     0.487     0.479     0.432     0.394     0.445  clickbench-url-1m-gen1-s42.contains.L16.s1e-4.r0
   0,3  0.007810   84694     1.733     1.024     0.747     0.573     0.577     0.594     0.566     0.613  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r1
   2,2  0.031059  336043     1.402     1.340     1.124     0.793     0.775     0.766     0.719     0.759  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r3
   0,3  0.040396  401060     1.469     1.829     1.592     0.866     0.860     0.811     0.805     0.805  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r4
   1,3  0.001502   16091     1.716     0.709     0.483     0.448     0.429     0.460     0.460     0.511  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r1
   3,3  0.031092  336192     1.373     1.376     1.416     0.847     0.816     0.811     0.801     0.865  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r0
   5,2  0.044474  481961     1.251     1.326     1.278     0.785     0.794     0.791     0.788     0.831  clickbench-url-1m-gen1-s42.contains.L8.s0.5.r1
   8,1  0.044430  481733     1.220     1.296     1.309     0.844     0.836     0.820     0.826     0.797  clickbench-url-1m-gen1-s42.contains.L16.s0.5.r0
   3,4  0.001800   19422     1.726     0.903     0.852     0.489     0.493     0.525     0.513     0.527  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r3
   4,4  0.031524  339965     1.335     1.503     1.279     0.873     0.874     0.835     0.814     0.800  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r2
   2,6  0.052599  371331     1.491     2.248     2.260     1.582     1.361     1.113     1.049     1.045  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r1
   7,4  0.000198    2142     1.753     0.615     0.618     0.573     0.581     0.570     0.545     0.627  clickbench-url-1m-gen1-s42.contains.L8.s1e-3.r0
   7,4  0.031815  343258     1.349     1.361     1.362     0.900     0.924     0.862     0.840     0.884  clickbench-url-1m-gen1-s42.contains.L4.s0.3.r2
   6,5  0.040612  402388     1.443     1.845     1.808     1.053     1.049     1.006     1.020     1.016  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r1
   5,6  0.007606   81910     1.595     1.125     1.072     0.678     0.661     0.629     0.595     0.673  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r4
   8,7  0.031336  335383     1.372     1.459     1.478     0.995     1.009     0.956     0.924     0.925  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r0
  17,5  0.001162   12169     1.709     0.723     0.718     0.805     0.798     0.714     0.733     0.735  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r2
  20,5  0.001077   11580     1.724     0.739     0.710     0.795     0.815     0.752     0.747     0.761  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r4
  26,6  0.007567   72902     1.715     1.268     1.325     1.104     1.108     1.067     1.090     1.068  clickbench-url-1m-gen1-s42.contains.L2.s1e-2.r2
