== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   1,0  0.000000       3     1.785     0.637     0.257     0.328     0.333     0.311     0.269     0.297  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       5     1.812     0.637     0.263     0.300     0.319     0.294     0.246     0.271  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000001      10     1.754     0.602     0.215     0.280     0.294     0.301     0.261     0.280  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000002      22     1.754     0.602     0.247     0.300     0.294     0.308     0.241     0.272  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      27     1.734     0.633     0.260     0.305     0.290     0.265     0.263     0.282  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000005      52     1.770     0.634     0.253     0.326     0.322     0.307     0.271     0.302  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000007      70     1.771     0.631     0.299     0.342     0.307     0.281     0.225     0.260  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000014     151     1.767     0.648     0.278     0.364     0.373     0.352     0.296     0.313  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000024     263     1.790     0.672     0.246     0.310     0.284     0.287     0.238     0.280  clickbench-url-1m-gen1-s42.contains.L8.s0.r4
   1,0  0.000075     817     1.763     0.687     0.274     0.331     0.315     0.356     0.302     0.325  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r2
   1,0  0.000081     874     1.799     0.727     0.331     0.401     0.373     0.370     0.343     0.370  clickbench-url-1m-gen1-s42.contains.L64.s1e-3.r0
   2,0  0.000012     126     1.861     0.644     0.318     0.374     0.336     0.319     0.290     0.339  clickbench-url-1m-gen1-s42.contains.L32.s1e-4.r0
   0,1  0.000028     309     1.821     0.685     0.287     0.382     0.344     0.324     0.295     0.329  clickbench-url-1m-gen1-s42.contains.L4.s0.r3
   0,1  0.000091     988     2.246     0.700     0.316     0.402     0.377     0.343     0.303     0.339  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r1
   0,1  0.000156    1688     1.788     0.763     0.358     0.419     0.381     0.371     0.356     0.377  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r1
   2,0  0.005445   59051     1.786     1.068     0.705     0.594     0.575     0.551     0.519     0.543  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r3
   1,1  0.000017     181     1.776     0.651     0.306     0.441     0.414     0.422     0.380     0.396  clickbench-url-1m-gen1-s42.contains.L64.s1e-4.r0
   3,0  0.000023     245     1.820     0.688     0.359     0.421     0.395     0.387     0.335     0.441  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   1,1  0.000053     578     1.771     0.704     0.383     0.507     0.452     0.441     0.442     0.434  clickbench-url-1m-gen1-s42.contains.L8.s0.r0
   3,0  0.000257    2776     1.762     0.725     0.437     0.469     0.418     0.421     0.410     0.425  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.005459   59199     1.787     1.051     0.714     0.589     0.579     0.582     0.544     0.576  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
   2,1  0.000207    2198     1.770     0.774     0.429     0.558     0.476     0.491     0.471     0.479  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r2
   2,1  0.001732   18586     1.772     1.003     0.678     0.581     0.493     0.496     0.484     0.516  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r1
   2,1  0.006996   75868     1.718     0.950     0.837     0.646     0.530     0.540     0.520     0.527  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r2
   2,1  0.012864  139515     1.661     1.100     0.818     0.681     0.608     0.630     0.630     0.617  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r1
   5,0  0.000162    1545     1.783     0.727     0.396     0.482     0.453     0.455     0.430     0.513  clickbench-url-1m-gen1-s42.contains.L4.s0.r1
   1,2  0.001062   11240     1.785     0.973     0.577     0.539     0.487     0.475     0.634     0.690  clickbench-url-1m-gen1-s42.contains.L4.s1e-4.r0
   3,1  0.006447   69888     1.610     1.000     0.724     0.661     0.579     0.551     0.544     0.546  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r3
   1,2  0.012994  140839     1.647     1.143     0.830     0.686     0.626     0.619     0.619     0.629  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r1
   2,2  0.000036     386     1.784     0.688     0.359     0.525     0.477     0.470     0.450     0.461  clickbench-url-1m-gen1-s42.contains.L16.s1e-4.r0
   0,3  0.007810   84694     1.738     1.189     0.871     0.688     0.632     0.652     0.614     0.631  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r1
   2,2  0.031059  336043     1.382     1.510     1.212     0.909     0.852     0.828     0.800     0.806  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r3
   0,3  0.040396  401060     1.473     1.962     1.673     0.939     0.902     0.865     0.854     0.864  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r4
   1,3  0.001502   16091     1.760     0.942     0.603     0.586     0.509     0.500     0.508     0.524  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r1
   3,3  0.031092  336192     1.357     1.465     1.477     0.915     0.849     0.816     0.827     0.816  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r0
   5,2  0.044474  481961     1.264     1.428     1.422     0.905     0.879     0.830     0.799     0.805  clickbench-url-1m-gen1-s42.contains.L8.s0.5.r1
   8,1  0.044430  481733     1.256     1.406     1.406     0.862     1.171     0.811     0.813     0.838  clickbench-url-1m-gen1-s42.contains.L16.s0.5.r0
   3,4  0.001800   19422     1.751     1.084     1.088     0.819     0.569     0.565     0.591     0.573  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r3
   4,4  0.031524  339965     1.363     1.618     1.447     0.945     0.910     0.848     0.857     0.849  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r2
   2,6  0.052599  371331     1.482     2.329     2.322     1.370     1.366     1.109     1.057     1.041  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r1
   7,4  0.000198    2142     1.756     0.747     0.729     0.586     0.565     0.540     0.549     0.584  clickbench-url-1m-gen1-s42.contains.L8.s1e-3.r0
   7,4  0.031815  343258     1.316     1.513     1.496     0.952     0.948     0.885     0.891     0.899  clickbench-url-1m-gen1-s42.contains.L4.s0.3.r2
   6,5  0.040612  402388     1.438     1.953     1.937     1.094     1.069     1.022     1.003     1.009  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r1
   5,6  0.007606   81910     1.594     1.110     1.179     0.733     0.680     0.679     0.683     0.702  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r4
   8,7  0.031336  335383     1.377     1.621     1.555     1.049     1.037     0.968     0.955     0.947  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r0
  17,5  0.001162   12169     1.745     0.873     0.843     0.784     0.782     0.721     0.760     0.787  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r2
  20,5  0.001077   11580     1.755     0.922     0.849     0.850     0.860     0.815     0.840     0.848  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r4
  26,6  0.007567   72902     1.749     1.467     1.456     1.180     1.118     1.098     1.093     1.088  clickbench-url-1m-gen1-s42.contains.L2.s1e-2.r2
