== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
   3,0  0.000023     245     1.648     1.001     3.576     0.429     0.547     0.258     0.230     0.239     0.248  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   3,0  0.000100    1080     1.573     1.030     3.611     0.432     0.619     0.281     0.230     0.287     0.314  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r0
   2,1  0.000207    2198     1.593     1.011     3.718     0.553     0.724     0.327     0.324     0.337     0.398  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r2
   3,0  0.000257    2776     1.774     1.071     3.734     0.520     0.654     0.315     0.306     0.300     0.333  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.001015   11008     1.624     1.023     3.696     0.545     0.739     0.308     0.296     0.314     0.300  clickbench-url-1m-gen1-s42.contains.L32.s1e-2.r0
   1,2  0.001062   11240     1.559     1.036     4.352     0.760     1.014     0.305     0.302     0.351     0.372  clickbench-url-1m-gen1-s42.contains.L4.s1e-4.r0
   1,2  0.001245   13452     1.588     1.022     4.181     0.736     0.949     0.349     0.353     0.367     0.369  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r0
   2,1  0.001732   18586     1.624     1.041     3.900     0.792     1.069     0.341     0.329     0.347     0.385  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r1
   3,0  0.005459   59199     1.607     1.122     3.933     0.835     1.167     0.403     0.391     0.415     0.462  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
   2,1  0.005915   64151     1.578     1.144     4.046     0.841     1.286     0.448     0.434     0.444     0.457  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r3
   2,1  0.006996   75868     1.525     1.102     3.942     0.748     1.040     0.374     0.337     0.361     0.387  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r2
   2,1  0.007023   76145     1.545     1.097     3.908     0.746     1.036     0.351     0.362     0.402     0.423  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r0
   0,3  0.007810   84694     1.533     1.192     4.429     0.996     1.343     0.506     0.509     0.465     0.480  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r1
